review_id,user_id,business_id,chain_key,chain_name,city,state,stars,date,text,useful,funny,cool,item_label,target_canonical,control_canonical,sent_label,sent_score,sent_valence,sensory_mention,texture_specific,environmental_mention,target,month
yLy-4RyHwmESPJeRyDUF4A,-fKG0wVdEPqy5IxGGznaTg,a8Q2bvUW6mAiws7xW7cS6g,kfc,KFC,Exton,PA,1,2018-09-25T20:50:17Z,"25 Sep 2018

We went in and found the establishment was worn. It was difficult to read the menu. The menu did not say one could purchase an individual piece of chicken. The lady behind the counter was as slow as molasses in the wintertime.

When we finely stepped up to the counter the employee was unable to address my questions about the menu. Her speech was inaudible.

I asked if she spoke english, I'm pretty sure she did, but not very well. My wife and I walked out without ordering.

We will not be back.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.8500095009803772,-0.8500095009803772,0,0,0,0,2018-09
591CZqWsvZuIoFUcp_D_7A,oknU9tuT6R16XlolOBnWHw,C3Nc7EUqo64jRPWPn6vY9w,chipotle,Chipotle,Cherry Hill,NJ,5,2014-02-06T15:33:18Z,"Chipotle is the Targét of the Mexican fast food game. 

What's not to love about Chipotle?  Burritos (or tacos/ bowls) made your way. Quick. Hot. Fresh. Generally great service at this Cherry Hill location.  They also have a really good soundtrack playing whenever I go in. 

My go to is the carnitas burrito but you can't really go wrong with anything.  Good rice, fresh salsa and guacamole.  

And yes, we are aware the guacamole is extra. 

As for the price, it's a bit more expensive than your normal fast food joint, but then again the quality and freshness is a step up.",1,0,0,control,Sofritas,Carnitas or Steak,positive,0.9637280702590942,0.9637280702590942,1,0,0,0,2014-02
fUJURx6Ango2DKkTav_jWQ,0V9kMR2AGljsoMQR_JgpZQ,sDbsELyAdRlpAs8vpQeKWQ,kfc,KFC,Land O' Lakes,FL,3,2014-09-26T16:09:08Z,The decor is old and in desperate need of an update but the food is always consistent   The chicken tenders are the best in the business and what else needs to be said about the taters?  Just yummy!!  Not good for you but OMG are they delicious  the prices are a little higher than they need to be but it's a nice change,0,0,0,control,Beyond Chicken,Chicken / Nuggets,positive,0.8376487493515015,0.8376487493515015,1,0,0,0,2014-09
Oh20KjcGZ24tniXXgKSWMg,srOyLIbKTrm5zL8Ad9_cew,sDbsELyAdRlpAs8vpQeKWQ,kfc,KFC,Land O' Lakes,FL,2,2018-03-17T11:00:12Z,"Not the best KFC.  I ordered a family dinner, but apparently it just comes with loads of wallpaper paste (mashed fake potatoes) as sides, and in the tiniest prunt on menu, shows that any other side is an upcharge. 
Ended up paying over $32 instead of $25 because we opted out of fake potatoes. Clerk was ignorant. Got home and many pieces of extra crispy chicken had breading cracked off. 
Not agreat value any more for dinner.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.908350944519043,-0.908350944519043,1,1,0,0,2018-03
-M7k8TCPgCrPBSzEnl7tqg,gaMPz4Efb2uCdBLcS0oDBg,YqLNSVl9wwmXw6NKEqjsRw,burger_king,Burger King,New Port Richey,FL,3,2016-03-19T16:58:20Z,"The staff was friendly and the service was fast, but the food was mediocre at best. I ordered a simple double whopper combo. The fries were cold and stale, the edges of the bun were hard, and the vegetables on the burger were warm and wilted like the burger had been under a heat lamp. Overall it wasn't totally inedible, but I definitely expect more for a fast food place that charges almost $10 for a combo meal.",0,0,0,control,Impossible Whopper,Whopper,negative,0.8425632119178772,-0.8425632119178772,1,1,0,0,2016-03
BYxfV7-CJl_zYkDSNc-bEw,p7Z2o3wy5O_zYZO4fHt1VA,C3Nc7EUqo64jRPWPn6vY9w,chipotle,Chipotle,Cherry Hill,NJ,2,2018-09-27T18:38:54Z,Traditionally I have no issue here but my last two visits haven't been great. I ordered sofritas on my lunch break. Drive back to the office to eat. I mixed it up and notice their is beff mixed in it. Had to drive all the way back. Being more careful could've avoided this.,0,0,0,target,Sofritas,Carnitas or Steak,negative,0.8407488465309143,-0.8407488465309143,0,0,0,1,2018-09
De7kyGO9v_4hu_hQJZ4x5A,LGecw2xC8UiJ58rXTPb55A,AmnnsJq4Pz1jJUFzHwtsOA,chipotle,Chipotle,Indianapolis,IN,2,2013-04-15T13:26:26Z,Avoid the steak. I have eaten their twice and found several pieces of it were mainly fat or grisle. One time I complained to the manager and he said it was hard for them to tell the difference when they grilled it. The other meat items are more reliable although I am no fan of shredded chicken either. My friend had the vegetarian bowl which looked better. Other ingredients looked good and were tasty.,0,0,0,control,Sofritas,Carnitas or Steak,negative,0.7861743569374084,-0.7861743569374084,1,0,0,0,2013-04
3H7UnvthxsK98cxCSG8Ncg,-ou42X2Ny3erNTjUmYn60A,W7NxQw8UYFR0HLPrI08tvw,chipotle,Chipotle,Tucson,AZ,5,2011-07-08T22:35:54Z,"So chipotle is so amazing! I feel like everytime I think about going, gods killing kittens! Why? This addiction is evil!! Lol. Anyhow I love this place for all their organic meats, the chicken is amazing, the Barbados is even better, what mood will I be in next week when the carnitas is going to end up in my burro?

Decor is awesome, the place is well laid out, and they always have some good tunes playing. 

You ready for the bad part?
Ok, so my only gripe, is how these bastards don't mind a HUGE spoon of rice and beans but then they go in with the tongs and shake out half the meat!! WTF! don't skimp on the best part! 

P.S. I always tell them to add my sauce to a cup on the side!! And I slather my burro in it as I eat! Get the hot, it's insane good.

Nuff said.... K bye!",1,2,1,control,Sofritas,Carnitas or Steak,positive,0.8591548800468445,0.8591548800468445,1,0,0,0,2011-07
EVBgTJuquB-DE6tmZ53QFg,kB2kj2rYRluJCy51fuRESQ,bKgyXSQUGA8IHGt8ne5NuA,chipotle,Chipotle,Reno,NV,4,2014-02-26T13:45:44Z,I had the steak bowl and it was delicious.  Since it's so new in our area the lines have been out the door so I recommend ordering on line which is very easy and you walk right up to get your food.,0,0,0,control,Sofritas,Carnitas or Steak,positive,0.9291690587997437,0.9291690587997437,1,0,0,0,2014-02
V1TzcV-mxa8lz-FrRvF4pw,Hl9mqLNPY0W5jYUJi9LBFw,S_tu8JCeZsbpgJsqRFaSBg,kfc,KFC,Carmel,IN,1,2017-09-12T20:49:42Z,"Horrible I gave it a one-star because I couldn't find a zero star this place is the absolute pit of a restaurant drive through when we pulled up they said we had to go around because the drive-thru wasn't working come to find out all they were doing was counting out the till and switching over cashiers biscuits no biscuits had to wait 10 minutes for those, pieces of chicken look like little piece of chicken wings at least six employees just walking around  doing absolutely nothing the place looked dirty horrible will never come back",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.9464586973190308,-0.9464586973190308,0,0,0,0,2017-09
GbjYzAJuHkkMWuT3zdEhnw,eM3YdYrXdS1BUsVdPDCGog,AmnnsJq4Pz1jJUFzHwtsOA,chipotle,Chipotle,Indianapolis,IN,1,2017-06-29T20:11:35Z,"We have been living in the area for two years. I have watched the steady decline of this chipotle. 
We eat at chipotle at least two times a week because of our jobs.
This place has become the great guacamole nazis. Instead of the normal sized spoonful that everywhere else gives, this place taps the spoon until it's leveled off. Leaving one with about a 1/4 cup of guac on their burrito or bowl. . I should'nt have to pay $2 for that teeny bit!!!

Next situation I have had with this chipolte is that we stopped in fifteen min before closing. With people in line BEHIND me as well, the counter girl explained they were out of chicken and steak and sour cream and only had enough guac left for one serving .....I called them out ""you mean u guys were too lazy to cook up more and restock?!"" 
Shrugging her shoulders she replied ""do I want something or not?""
The manager person came out after hearing my complaints about paying $10 for a bowl with nothing in it! Comped my bowl but still lazy. 

I've also ordered twice online. Both times they claimed they didn't see it and had to rush to complete once I got there. 

Whomever does the hiring for this chipolte needs to be fired. Their workers suck lately",1,0,0,control,Sofritas,Carnitas or Steak,negative,0.8383556008338928,-0.8383556008338928,0,0,0,0,2017-06
MhE9GbFF6kg92TnT0jTeUA,0T7D52kX1PSqUtYMudBT3Q,bKgyXSQUGA8IHGt8ne5NuA,chipotle,Chipotle,Reno,NV,3,2015-02-18T02:45:16Z,"Chipotle gets a big ""meh"" from me.  I admit I might be hard on them because of their reputation for being amazing, but I just find it to be okay.  And yes, I do get to pick all of my ingredients, but I've been 3-4 times and ordered different items and combinations each time.  I just don't find the flavors to be very inspired.  There are other fast Mexican/build your own burrito/bowl places in town that I find to be much better, and will way more variety to choose from.

The one thing I really appreciate at Chipotle is that they offer ""sofritas"" which is a vegetarian option.  I'm not a vegetarian, but I appreciate having the option to go meat-free!",0,0,0,target,Sofritas,Carnitas or Steak,positive,0.49708208441734314,0.49708208441734314,1,0,1,1,2015-02
yF6tbdOP-ZkJcLttWrravw,JEx81AlNgiBuaJwurx9Bsg,bKgyXSQUGA8IHGt8ne5NuA,chipotle,Chipotle,Reno,NV,3,2014-02-27T01:40:33Z,I thought it was marginal given all the hype. I was under the impression that the burritos were relatively large - I guess mostly just full of rice. Also choosing steak was a mistake - it was all kinds of chewy and gristly. I'd go again if someone else wanted to and I'd probably get something else.,0,0,1,control,Sofritas,Carnitas or Steak,negative,0.7659152746200562,-0.7659152746200562,1,1,0,0,2014-02
7vl7qakFCNcScYKN6qDxpw,ZSrwpdRJ7eCsKZx1X7Zcmw,sDbsELyAdRlpAs8vpQeKWQ,kfc,KFC,Land O' Lakes,FL,1,2015-06-22T15:07:18Z,Too many problems to note.  Bad service; seem to be or are currently unavailable one type of chicken; missing item with drive-thru orders; the list goes on....,2,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.9229682087898254,-0.9229682087898254,0,0,0,0,2015-06
_Mvvga1OMFR_22hd3kr-hQ,fSCm5mZnYwB4kvvumNgASw,oSayyuU2ngd8rWEGGb4_KQ,carls_jr,Carl's Jr.,Edmonton,AB,3,2017-03-28T19:19:40Z,"I think 3 stars is generous. It's really a 2.5. The staff was really friendly, restaurant was clean, and food was fast. Thats just it. It's fast food. I went with a basic famous star burger and it was identical to a whopper from burger king. This was my first visit to a Carl's jr, and i was expecting a little better. A combo with onion rings cane to $11 and change. So, in par.with fast food.",0,0,0,control,Beyond Famous Star,Famous Star,positive,0.7824321985244751,0.7824321985244751,0,0,0,0,2017-03
awc5_NplIIHUS3ZATHHSzA,VMPUGdnr-uC8x-EKY0MWVw,YhQAQhG1IkXJH7oLZMbM9w,del_taco,Del Taco,Sparks,NV,1,2017-10-04T22:49:59Z,"Nothing right in this place except they had a clean restroom. Fries were cold and dark, as they usually are. I ordered a burrito, it took 20 minutes to get it after many people were served in front of me. Service in this establishment SUCKS!!!!!!  Everything in this restaurant needs to change , they need to train and hire people who truly care about their work. they really need to toss out the old food they over cooked and not force it down the throats of their customers. French fries, Beans, Salads, Egg, Taco meat. Im sure the corporate offices would agree, but no one comes out here to correct it. I predict if they don't fix these issues soon, they will close for a lack of customers.",1,0,0,control,Beyond Taco,Beef Taco,negative,0.9381659626960754,-0.9381659626960754,1,0,0,0,2017-10
ZrN5A0ygyUqDmzr3bj050w,8oVzwCXkrnXMJNskmC9Igw,sDbsELyAdRlpAs8vpQeKWQ,kfc,KFC,Land O' Lakes,FL,1,2014-09-13T16:10:24Z,"This particular KFC gets one star only because I can't give it zero stars. How is it that the last three times I've been here over the last couple months there is no extra crispy chicken? YOU'RE A CHICKEN RESTAURANT! Also my container of green beans was mostly water this last time. Every time I come to this particular location it's always something and it's always disappointing and on top of that the customer service is always awful. It seems the employees are miserable and go out of their way to be rude. I kept going to this kfc because I love kfc and it's on the way home but never again. ""Keyla"" working the drive through window needs to learn some respect and some manners as well as some customer service.",2,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.905553936958313,-0.905553936958313,0,1,0,0,2014-09
U8_0pHKafHa2QZDuf8l8BQ,1ofl97qr0ch19G4rVMDGYw,r7WwdseoJpfna4a57qeiag,chipotle,Chipotle,Carmel,IN,1,2015-07-20T19:36:52Z,"I have been to the Chipotle at 126th street 2 times now and each time they have been out of either Chicken or Steak.  I was not there at odd hours, and they did not seem in any type of rush to get the food prepared and out.  I decided to have steak instead since they were out of Chicken, the Steak was cold and chewy.  Chipotle has lost some of its appeal.",0,0,0,control,Sofritas,Carnitas or Steak,negative,0.8171826601028442,-0.8171826601028442,1,1,0,0,2015-07
AM2o3jlEb-mwgKtXQEKD0A,3DE7yc0bpwu_fRfLgYi8ZQ,YhQAQhG1IkXJH7oLZMbM9w,del_taco,Del Taco,Sparks,NV,2,2018-09-28T02:13:47Z,Thursday night at 7pm shouldn't be too bad right???? NOPE! 25 minutes so far in the drive thur! Two cars still ahead of me and it's not like I can just leave. Love Del Taco but you are turning into Taco Bell with this crap!,0,0,0,control,Beyond Taco,Beef Taco,negative,0.8853163719177246,-0.8853163719177246,0,0,0,0,2018-09
AV0o4Pe1-9PJa3AkjlEu-Q,x8PCqMKJBzqqklnYla0s0w,9ouyziwYpSvJzlLFpukSgA,chipotle,Chipotle,Pinellas Park,FL,1,2015-05-29T18:33:27Z,"Used to drive out of my way to come to this location, (I live closer to the one down 4th st)
A few times we have ordered our regular steak bowl, they barely put any meat or rice. I felt like I wasn't given what I payed for, regardless of they are busy or not . I won't be coming back due to it being an on going issue. They also never have tea or lemons!",1,1,1,control,Sofritas,Carnitas or Steak,negative,0.7732326984405518,-0.7732326984405518,0,0,0,0,2015-05
lcB_zOk5azFLKhZaaM6j8w,UXZMPcpth1NmegvLMHqABA,i2yCrMQx5soH0jMFG32vxQ,kfc,KFC,Goleta,CA,3,2013-10-25T23:29:22Z,"It's never packed here but the service is always slow. I've never seen a worker crack a smile and the vibe is just ... dry. 

I only come here because it's the only fried chicken place in goleta and it's decent. Biscuits are always dry and the chicken never seems to be warm enough, but It gets my fried chicken cravings satisfied. If there were any other KFCs or even a Popeyes, I wouldn't even bother with this place.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.8390333652496338,-0.8390333652496338,1,1,0,0,2013-10
cGHmhjAVO9900GcDGam7Hw,QHUtRqkaxcNXz5_tbZdVaw,L7i_5DydYEKwPLfcDBRYDA,chipotle,Chipotle,Voorhees,NJ,4,2016-01-18T22:52:35Z,"Chipotle is a reliable place for a good burrito. It pales in comparison to SoCal for burritos, but here in the east coast, I'll take what I can get.. Particularly for a good price and fresh ingredients. The sofritas is amazing and would be loved by carnivores if they gave it a chance. The guacamole could use a little more lime and I prefer it chunkier, but is above average for being mass produced.  

This location is generally pretty quick with their service. The parking lot is usually filled. 

Pro tip. Get a veggie burrito or bowl, and your guacamole is free99 son. Easily the best deal. Also, they have redeemed expired coupons for me in the past, so don't be afraid to give them a try- you never know. The Tabasco chipotle and Tabasco like sauces are a required addition to anything you order here.",0,0,0,target,Sofritas,Carnitas or Steak,positive,0.9257758855819702,0.9257758855819702,1,1,0,1,2016-01
KAsxyvfJlC_HYAb6jrK2ow,kIADx0pgrTJNHUERMDOW0Q,bKgyXSQUGA8IHGt8ne5NuA,chipotle,Chipotle,Reno,NV,4,2015-08-31T23:38:12Z,"Really surprised this place isn't busier.  I really love the Sofritas bowl.  It feels like home.
When you don't eat meat, having a place like this to go to is great.

Reasonably clean, and the people are super nice.  I wish they were more reliable in their portions.  Some servers give more, and others much less.",0,0,0,target,Sofritas,Carnitas or Steak,positive,0.9463421702384949,0.9463421702384949,0,0,1,1,2015-08
2pv3F845ZP1SQPQ1SJK7ZQ,1KVMrASElCoqaPOBqHeY1g,sDbsELyAdRlpAs8vpQeKWQ,kfc,KFC,Land O' Lakes,FL,4,2014-09-26T16:11:39Z,"A clean store a good crew  and well prepared food  a little pricey compared to
Most fast food establishments but how can you resist the mashed potatoes and gravy  I usually choose the chicken bowl  all the essential vitamins and minerals a growing boy needs all in one bowl  lol",0,0,0,control,Beyond Chicken,Chicken / Nuggets,positive,0.8182100653648376,0.8182100653648376,1,0,0,0,2014-09
B8jxb8le6lxwYmng_yMkZg,YxE9ERtoyczXIxqEadX5yw,dMWdmZn_H3ym8zeaY90D6w,kfc,KFC,Dunedin,FL,1,2018-04-17T20:54:24Z,"I don't even know where to begin. This is the closest KFC to my house and it is the biggest disappointment. Every time I go there, there is always something wrong. For instance one night they were out of chicken tenders and mashed potatoes. Almost every time I go there they forget something in my order or get it wrong. Like ordering a number six and a number eight and only getting one number 6. Or not getting any sauces that I asked for. Or 4 getting my cookie AND my sauce.... AND my utensils in the same order. And there's always a weird smell coming from the window when I pull up for the drive thru... And when I peek in it just looks like a mess. Of course the floor looks disgusting. Honestly I don't even know why I come back. If I could give them zero Stars I would but fortunately I can't so they get one star. And I guess that one star accounts for the fact that everyone is always friendly. At least they're nice.",0,0,0,control,Beyond Chicken,Chicken / Nuggets,negative,0.9335004687309265,-0.9335004687309265,0,0,0,0,2018-04
KPa6ik-c6LLrar51TusxGQ,4d-RpSu6wl_DMf7-wmKqZw,9ouyziwYpSvJzlLFpukSgA,chipotle,Chipotle,Pinellas Park,FL,1,2016-10-27T22:27:37Z,They give you noooooooo meat. Ive tried them about 3 times and each time they give me like half a spoon of meat. Today I wanted half chorizo half steak and I swear I probably got 3 pieces of chorizo in my bowl. So furious. & it's not like you can say anything bc they always give a dirty look and a smart remark about not being allowed to serve more. I pay to eat a meal not to get served what you would feed a fish. Never coming to this location again. Recommend you making the extra trip to the one in Tyrone. They know how to actually portion.,0,0,0,control,Sofritas,Carnitas or Steak,negative,0.9168944954872131,-0.9168944954872131,0,0,1,0,2016-10
U8vjuUjfK8X_M7A15EKRWg,b9x4vwbKf-svNB1rjwQx5A,9ouyziwYpSvJzlLFpukSgA,chipotle,Chipotle,Pinellas Park,FL,4,2015-06-11T23:38:55Z,It was busy when I went but the service was as fast as they could go and the food was delicious. The sofritas are great! It was my first time going to this location and I didn't have an issue with it.,0,0,1,target,Sofritas,Carnitas or Steak,positive,0.9686984419822693,0.9686984419822693,1,0,0,1,2015-06
CfEQB0yR_D7Is-JJ6vZqDA,Sh-JzJXxdaiaxBrwFcwP2g,tNOLXgYTykXmLaAZnvo1vg,chipotle,Chipotle,Exton,PA,1,2015-11-21T20:40:48Z,"The food here is yummy and it is clean but today I had the worst experience but it wasn't the first time I have.

Right away it took forever for someone to help me and I was the only person standing there. 
Second, right away I ordered my usual bruito bowl with extra rice. The girl puts less rice then you typically would receive if you didn't ask for extra. The second I realized I said, ""can you please add more rice. Sorry"" 
She looks at me annoyed and says sure only to turn to the girl next to her and complain about me right in front of me about wanting more rice. Then she proceeds to give me so little half and half chicken & steak that I couldn't even tell I was eating any meat!



After finally getting everything made I had to stand there forever while people just kept walking by just to pay. I honestly was about to tell them I didn't even want it anymore! I can honestly say this was definitely not with the 8 something I paid.",1,0,0,control,Sofritas,Carnitas or Steak,negative,0.769511878490448,-0.769511878490448,1,0,0,0,2015-11
