,mixedtrait,mixedpost,mixedvalue,ethnic,age,gender,edu,income,response,coding
30,2,2,3,1,23,1,1,6,I feel negatively about the social expectation to be busy. I feel as though my life is my own to do with what I want. I do not feel that I should be obligated to be busy and stressed just to appear productive.,0
31,3.333333333,4,7,1,29,1,4,6,"I feel overwhelmed and stressed, but then feel like I need to act like I am not.
I would internally be feeling like I couldn't handle it all but would project that I have it all together to anyone on the outside.",0
32,2.5,1,1,0,28,0,3,4,"I feel pressured by society's expectations. Always being busy is stressful, and I don't think it's a fair expectation.",0
33,2.5,2.333333333,6.5,1,24,0,1,2,"I feel pretty weird facing the social expectation of being busy, because i know a lot of people who just say they are busy because its easy. No one really likes people who are always accessable.",1
34,2.166666667,1.666666667,1.5,0,30,1,3,6,"I feel proud when I am busy doing my job at work. And one of the major reasons for this feelings is that I take my job very seriously and i always meet to target. Also whenever I am at my job I give my all and i do not feel distracted in my work in any way.
The feelings i have when i am busy include feelings of pride and happiness.",0
35,3.333333333,3.666666667,2,1,27,1,1,2,"I feel so much pressure to be as good as everyone else when there is a standard such as this set for me. I don't want to have to feel inadequate and I don't want to feel like people are better than me just because they are busier than I am. If I am not as productive as someone else does that make me a bad person? I am going to be negative to myself now because I am not perfect and I don't meet the standards set every single day that I am supposed to. This makes me feel sad and now I am in a slump. If this standard was not set I would not have been in a slump in the first place and would not have felt depressed. Now I have to get myself back up again and make myself feel better,",0
36,3.833333333,3.833333333,1,1,28,0,3,5,I feel that given our societies expectations during this time and age can be very stressful. I’ve found my self at times years ago over estimating my abilities at work and trying to “bite off more than I can chew” in order to impress or show people I’ms hard worker. This ultimately dug me in to a hole and was so stressful to pull myself out.,1
37,3.166666667,4,1.5,1,24,1,3,5,"I feel that there is pressure to maintain a state of being busy. It makes me question my worthiness. I feel scared, nervous, and guilty if I am not doing something productive. I worry about the fear of missing out (FOMO). There is an expectation of always being on that makes me worry that I am not doing enough. On the other hand, when I have a few events happening, I feel excited to connect and engage with others. I like having many things to look forward to.",1
38,2.166666667,2.833333333,2.5,0,27,1,4,4,I feel that you should put self-care first because a job will try to burn you out and you should have boundaries. I think you should listen to your body and if your body wants to take a break you should do that. You should not burn yourself out due to fear of being fired. You are a person and your health comes first. I feel empowered to support my wellness.,0
39,3.666666667,3,2.5,1,27,1,1,2,I find it stressful. I feel like I need to work myself to death to please society. I feel like balance between work and leisure isn't valued enough.,0
40,3,1.833333333,5.5,1,29,0,3,5,"I get stressed out when I am not busy. I would feel competent, challenged, and fulfilled to face the social expectation to be busy. I would feel competent, because I am expected to stay busy, which means others have faith in my competence in what I'm doing. I would feel challenged, because I would want to stay busy as well as make the best effort with my time. I would feel fulfilled, because I like staying busy, and this would keep me happy.",0
41,3.666666667,1.333333333,9,1,29,1,3,7,"I get stressed out when I think about society expecting me to be busy constantly. I feel like I will never be able to meet their expectations and I will constantly fail. Also, I enjoy down time to relax or catch up from the week.",0
42,4,3.666666667,5.5,1,27,1,1,4,"I have had to face the social expectation to be busy and it was extremely stressful and anxiety-inducing. I was always on edge, irritable, and tired. I never felt like I was actually accomplishing anything, even though I was constantly on the go. It made both my personal and work relationships difficult during that time.",0
43,3.333333333,2,6,1,27,1,3,7,"I have lived that expectation before to always be busy, especially when I was a college student. You had to, it seemed, always be involved in 3 clubs along with demanding class and study schedule. It was exhausting. I think thats what made me realize the slower-paced life was for me. I am doing much better now and can balance all of life's demands with more ease now being less busy!",0
44,4.333333333,4.666666667,6,1,25,1,1,5,"I honestly feel like I'm constantly busy due to the thoughts that race through my head non-stop on a daily basis. It is so stressful to be expected to be busy always. Feeling like you have no down time to focus on you or your emotions brings such an overwhelming sense of guilt when you can't accomplish everything that you feel the need to, whether they're necessary or not.",0
45,2.166666667,2.333333333,3.5,1,25,0,4,7,"I might feel overwhelmed if there was a social expectation to be busy if I were not used to being busy as it is. I live a pretty busy, fast-paced lifestyle with juggling work, friends, family, and other activities. I would feel like nothing has really changed if there were a social expectation to be busy.",0
46,3.166666667,3.166666667,4,1,25,1,1,3,"I often feel pressured by society to be busy. Even if I'm working at home, I feel like my family thinks I'm not working enough if I relax after doing some work. It feels stressful and frustrating to always have expectations put on me. It doesn't feel like I can ever do enough. Everyone is expected to work until they're dead-tired, which makes me sad that we're all wasting so much of our lives just to work. It would feel much better if our society was able to focus on living our lives more, and people could make more money for their productive hours, like people did in the past.",0
47,2.833333333,1.833333333,5,1,27,1,3,6,"I personally do feel a social expectation to be busy, particularly at work. I am anxious to be put up for a promotion, so I always ensure that I go above and beyond my work expectations and work hard to be busy at all times. This makes me feel stressed often during my day because I do not always have enough time to actually work on all the tasks that I have accepted. I do want to make sure I do a good job, and I feel that I have been overworking myself. I do not feel particularly more tired than usual, but I do feel that the stress of trying to stay busy has made me more mentally fatigued than anything.",1
48,2.333333333,1,1,0,27,0,1,1,"I personally feel outraged at the expectation that to be a person of worth that you need to constantly be toiling away in ""productivity"". I believe this ""productiveness"" or ""business"" is actually just a distraction that we are forced into. If you do not abide by the societal expectations (college etc) then you will literally be enslaved by money by only having jobs available to you which are insufficient for doing anything other than that job. You will only be able to afford to keep working at that job to keep existing. If you do follow the societal expectation of going to college, you will spend many years and all of your time learning a skill and accrue massive amounts of debts, also ensuring you become enslaved to making financial ends meet. This is all just to keep you distracted and working, always trying to make financial ends meet, never realizing the true nature of humanity and our place in this universe, spiritually.",0
49,2,1.666666667,6,0,26,1,3,3,"I personally thrive on the feeling of being busy, as it makes me feel competent and having worth. BUT I do think the fast paced burnt-out culture is a detriment to everyone's mental and physical health. I will put in as much effort as required, but there is not paycheck that is worth more than my health and wellbeing",1
50,3,3,4.5,1,27,0,3,4,I think I would feel extremely drained. There is only so much you can do and but get super tired from. It’s just the awful feeling of “big brother” and,0
51,1.833333333,1.666666667,2.5,1,29,0,3,8,"I think I would feel like a rain cloud was over my head. Good mental health requires you to sit and think about nothing, and that does not jive with this concept. And being a hard worker does not necessarily mean filling your schedule entirely.",0
52,2.5,2.833333333,3.5,0,18,1,1,1,I think I would feel overwhelmed really. I don't think fast-paced is good and I think people really need to slow down a lot of the time  because face paced means no peace. No time to think,0
53,3.833333333,4.333333333,2,1,28,0,3,3,"I think it's a tragedy that my culture places such value on always being busy, occupied, or otherwise trying to accomplish some measurable task. I feel at my best, and my most human, when I can take as much time as I want doing what I want, mainly relaxing. People brag about missing sleep and skipping vacations to get more work done. I think this is awful and it makes me feel unwelcome here. I wish I could move to a place that valued rest and relaxation and good conversation for conversation's sake.",0
54,3,4,5,1,28,1,1,3,I think that the social expectations to be busy are definitely real. It can be a good or a bad thing. I feel that it is good because it motivates people to work hard and get things done. On the contrary it can lead to feeling like you can never do enough and no matter how much you do it's still not good enough.,1
55,2.666666667,2,5,0,28,1,3,5,I think the expectation to be busy is an arbitrary burden and should not be as emphasized at the expectation to be productive.,0
56,3.166666667,1.833333333,6,0,22,1,3,5,"I think the social expectation to be busy is unnecessary. You can be productive and still have down time. I think society use to value work like balance more in the past. Now, there is an expectation to be constantly busy and stressed, which I think is stupid. It is unnecessarily stressful and doesn't give anyone a chance to be in the moment and enjoy life. I enjoy being ""busy"" if I am doing something I enjoy. When I am occupied with things I don't like, it is agitating and feels like a waste of time.",1
57,3.166666667,4,1.5,0,25,1,1,4,I think this social expectation is unnecessary. I wish more people would take a slower pace and not feel the need to stay busy. It is mentally stressful. I feel this social expectation may have been made by employers for their benefit. It makes me feel sad and angry.,0
58,2.5,2,6,1,28,1,3,5,"I typically feel the social expectation to be busy.  It feels stressful, like pressure.  It makes me anxious and rushed.  We rarely ever get a moment to take in our surroundings and just be.  It makes my mind rush and race from thought-to-thought as I try to cross items off of my to-do list.  It's a chaotic and scrambled feeling.",0
59,4.166666667,4.833333333,5,0,20,1,1,1,"I understand why there is a social expectation to be busy, but I would say busy and productive, not being busy just to be busy. I think there is some added pressure and stress that comes with it, but sometimes there are things that just need to be done. Of course, it is also fine to take a day off every now and then as well. I think I would rather be kept busy than just sitting at home all day doing nothing because then I'm not consumed by my thoughts and I am distracted",1
60,2.5,1.666666667,1,0,27,0,3,7,I would be feeling overwhelmed if I had to be busy all the time. I would probably be stressed and angry. I actually do this myself and try to always be busy at work. It does take a toll on me. I feel mentally drained after a week of work.,1
61,3.5,2,5,1,27,1,4,3,"I would experience a need to busy to feel valuable. I would probably feel guilty when I wasn't busy because I wouldn't feel accepted in society. I would also probably experience physical, mental, and emotional exhaustion as a result of being busy. Business would add stress and pressure to my life.",1
62,2.333333333,2.333333333,4,0,25,0,3,7,"I would feeel obligated to work without working, just mindless working. That type of work is dangerous because the preception is that I am always doing something, bt in reality, it is just me appearing to be busy. Not only is that an actualy waste of time, it is yjust mentally exhausting to ""feel""busy the entire tie a t work. I would rather do an 1 hour of actualy worok then 8 hors of sort o doing somehing. I would be tired of all the time when I'm not doing something, which is a paradox",0
63,2.666666667,4,6.5,0,20,1,1,6,"I would feel a little stressed about the need to constantly be busy. While I am busy most of the time, it is stressful and worrisome to be too busy. I do not like to be too busy so that I do not have time for other things because then I feel like I do not get the most out of life. It also gives me satisfaction to be busy and for people to think I am busy since that seemingly gives my life more purpose so people will think that I might be more successful than I am. It brings me a conflict of emotions to be busy, especially in the face of others.",1
64,3,4,5,1,29,1,1,7,I would feel a lot of pressure. I think I would feel guilty if I wasn’t busy or deciding to relax. I would feel like I needed to keep moving.,0
65,3.166666667,1,3,0,25,1,3,5,I would feel a mixture of emotions in this situation. I would feel competent and happy but also kind of irritated that they expect me to be busy all the time,1
66,3,4,1,1,26,1,4,7,"I would feel annoyed as I work very competently doing my current work responsibilities very thoroughly. Appearing busy and adding on to my work load would not be the most effective thing to do, as mistakes can happen. If I end up making a mistake I would feel very disappointed in myself.",0
67,2.333333333,2.333333333,4.5,1,30,0,4,5,"I would feel annoyed. I think that I'm a super productive worker, but the way I work doesn't ""look"" busy to the typical person. But it's just how my brain processes things. I don't think I'd feel too stressed, because I don't think it's my own problem. I think it is a problem for society and the bosses around me, and that they're in the wrong.",0
68,3.333333333,3.833333333,5,1,24,0,3,5,I would feel constantly active and on the go.  There would be so much to juggle and I would feel stressed at times as well.,0
69,2,2,5,0,29,1,5,6,I would feel exhausted having to be busy all the time just to prove myself at work or in school.,0
70,4.166666667,2.333333333,4,1,23,1,4,7,I would feel irritated and resentful about feeling the need to be busy. I would hate that my mental health is not valued. I would feel devalued. I would not feel happy or any positive emotions.,0
71,3,2.833333333,4.5,1,28,0,3,3,"I would feel like a slave to the feeling of being busy. I'd feel like I wouldn't have enough alone time to myself in order to do the things I like I feel like I wouldn't be able to see my family or friends as much. Furthermore, I feel like I'd be more inclined to pick up extra shifts at work to keep busy.",0
72,4,1,3,1,23,1,3,4,"I would feel like I am constantly being pulled in different directions, and like I can't spend long periods of time doing any one thing because I have to keep going. I think I would often feel irritated, worried, and stressed because there's always something else to be done. I think I would be experiencing the highs and lows of emotions, but often hiding it until I have the time to deal with it. I would often be tired, exhausted from a day where I just had to push through but then my brain would struggle with the inactivity needed to let me sleep.",1
73,2.666666667,3.833333333,6.5,1,25,0,1,3,I would feel looked up at like a role model to follow. It makes me feel like I have to be busy so that others will see me as important. Not living up to this expectation would make me feel like I am a failure and that I have no life. I want to be seen as a person that is always busy because ot makes me feel accomplished.,0
74,2.166666667,4,9,0,27,0,2,3,I would feel okay. I do my work and get it done. I see no reason to complain about this when just about everyone does some work. I just go with the flow. I do not like to cause issues.,0
75,4.666666667,4.833333333,3,0,28,1,3,5,"I would feel over whelmed and bothered by the social expectation of being busy. Sometimes enjoying life is okay, but is still seen as weird or odd. Even on vacation, you're expected to be ""busy."" I would also feel this anger combine with my other emotions and ask myself, ""How has society gotten to this point?""",0
76,2,4,5,1,26,1,NA,6,"I would feel overwhelmed and anxious in this fast paced environment of always being busy. I would feel a sense of accomplishment of getting more stuff done, but I like having time to relax. Always being busy would make me feel constrictive and locked down. I would worry that I wasn't doing enough to stay busy and any down time would make me feel like a failure.",1
77,4.666666667,5,9,1,27,0,3,7,"I would feel overwhelmed and burnt out. I can't stay busy all of the time, otherwise I'll crash. That being said, staying business enables me to keep some negative thoughts out of my head which is a good thing. Idle hands can really be the devil's workshop.",1
78,2.333333333,4,5,0,28,1,3,5,"I would feel overwhelmed and stressed out if I felt like I always had to be busy and working on something. Honestly, I already feel this way a fare amount of the time, and I'm often trying to fight against that feeling and allow myself to take a break and chill.",0
79,3.666666667,4,1,0,28,1,4,1,"I would feel overwhelmed when considering all of the social expectations that are imposed on me to be busy. I would feel anxious and upset knowing that there is a never-ending laundry list of tasks on my plate. I would also feel exhausted from having to balance so many tasks and having to occupy my schedule all the time. I would feel guilty if I couldn't keep up with all of my obligations. I would also feel incompetent if others were busier than I was, which I'm sure is how the situation would play out.",0
80,3,3.5,4.5,1,24,1,1,2,"I would feel overwhelmed, yet determined and calm",1
81,3.333333333,3.666666667,1,1,28,1,2,2,I would feel overworked and burned out. I would feel as though i need to put on a fake face and be someone who i am not. I would be depressed and feel like i have no time for the things i love and would feel lonely.,0
82,4,5,4,0,27,1,3,7,"I would feel pressured and exhausted having to live up to this expectation, knowing it personally and having experienced it in the past. However I would also feel somewhat competent because being constantly busy is a sign of productivity and doing well in life.",1
83,2.166666667,1.833333333,4.5,1,21,0,3,1,I would feel pretty calm about it since I really do not get stressed about anything in life. If the expectation is to be busy then i will stay busy. Should be easy for me to do,0
84,2.333333333,2.666666667,2.5,0,26,1,3,4,"I would feel pretty content. I pride myself on being productive, not necessarily busy, so I am able to adjust well to the pressures of society. I would not overwork myself, but I wouldn’t be a sloth either.",0
85,1.5,4,1,0,23,1,1,4,"I would feel several emotions at the same time. I would feel frustrated. However, I would feel slightly positively or negatively depending on the tasks. My emotions would depend on the nature of the tasks at hand.",1
86,4.166666667,3.166666667,6.5,0,24,1,5,8,"I would feel stressed and overworked if I had to stay busy and look like I'm good enough to survive in the society. It adds extra pressure and sometimes, you can't even think straight because you're trying so hard to fit in. I've been down the trajectory where being busy was seen as a great thing and being overworked and underslept is seen normal. I've broken out of that mindset but now,I feel like I'm not doing enough. There is more productive ways I could be spending my time or be doing more with the available time that I have compared to what I'm doing right now.",1
87,2.333333333,3.166666667,2.5,1,29,1,2,4,I would feel stressed because I would feel like I have to constantly be busy and productive. I would feel like taking time to relax is a waste of time and would feel pressured to always be working instead. Eventually I would feel burnt out and feel even worse about myself for having less of a drive to always be working and productive with my time.,0
88,2,4,5,0,26,0,3,5,I would feel stressed because of this busy lifestyle. I would feel I could never have down time to relax or do activities I enjoy. I would be anxious due to the expectation that I must deliver quality whenever I work. I would feel jealous of other people who can take it easy and do not have such a heavy workload.,0
89,3,3.666666667,2,0,23,0,1,2,i would feel stressed if i felt i had to be busy because society expected me. My work load would probably suffer because i may feel i have to rush to keep busy,0
90,3,2.833333333,6,0,23,1,2,6,I would feel stressed out because if I didnt follow what was expected I would be judged and valued less than people who are more busy than I am. I feel frustrated sometimes because people associate success with how busy someone is. People who are more busy are expected to be smart and are valued as being worth more. If your a busy person people will feel special when they get to spend time with a busy person because they feel special that they got to spend time with that person.,1
91,3.5,4,4.5,1,25,0,3,8,I would feel stressed out if I was always expected to look busy. This would cause me to tire out as I would always have to be looking like I'm doing something even if there is nothing to do.,0
92,3.5,4.333333333,3.5,1,19,1,2,8,"I would feel stressed out to meet the social expectation. That stress would make me feel drained and exhausted. If I wasn't able to meet it, I would feel depressed and worthless. If I was able to keep myself busy as society expects me, I would feel proud of my abilities.",1
93,2.333333333,2,2.5,0,28,1,1,1,"I would feel stressed out, but I would also try to make a plan to achieve all of my goals. I would want to achieve everything because society wants me to, as well as for myself.",1
94,2.833333333,3.166666667,9,0,29,1,1,2,I would feel tired and stressed. It would be a feeling of having no place in the world.,0
95,3.333333333,2,3,1,25,0,1,5,"I would feel very annoyed to have the expectation of always being busy.  I do not like this way of life and think it is unproductive to me.  It is also not enjoyable.  I want to be able to be productive for a reasonable amount of time, then relax and enjoy the rest of my time.  I think being always busy is not enjoyable and not able to do long term because I feel I would get burned out.  I think that we should work on setting a new expectation of reasonable productivity and enjoyment of life.",0
96,4,3.666666667,6,1,25,1,1,2,I would feel very stressed and overwhelmed. I am not used to people needing me or needing to be by my side constantly.,0
97,3.333333333,3.166666667,4,1,27,1,2,4,I would feel very stressed if I was extrememly busy. Being busy means I will have to multitasks and it will add a more headache and problems upon myself. It was cause me to be tired and make me feel very sleepy as well too. The emotions would just be stress and tired.,0
98,2.833333333,2,2,1,28,1,4,6,"I would hate it. Being busy can be good, but it can also be bad. Sometimes people use being busy to run away from their problems. This oftentimes makes problems worse. This is why I would hate being pressured into being busy by social expectations. It would also make me sad because there are times when I like to just be. Meditation and relaxation can be good for the soul, but are often not compatible with a ""busy"" lifestyle. It would make me sad if I felt I could no longer do them.",1
99,2.333333333,1.333333333,5,0,22,0,1,8,"I would honestly just feel stressed. I don't like the work culture expects you to hustle all the time. I believe there's a time to get work done, but I think it's equally important to take time to relax because if you're constantly busy, you will definitely get burnt out. I'd also feel a lot of pressure to succeed and I feel like I'd start relying on the validation of others to get going, which is very unhealthy. I'd be much happier if I didn't care what people thought and just did things at my own pace. I believe people shouldn't dictate your actions and you shouldn't put too much weight on people's expectations.",0
100,1.833333333,1,1,1,25,1,1,5,I would personally feel indifferent about this social expectation. I always believe that people are entitled to live however they want and so I do just that. I would never let this expectation make me feel stressed or tired because that would be counterproductive. I would simply ignore this and live my life as fast paced or slow paced as I want.,0
101,2.666666667,1,1,0,27,1,3,4,I would personally feel overwhelmed and exhausted in the face of social expectations to always be busy. I think it would be absolutely draining to feel like my value as a person is diminished if I do not have a million things to do at all times. I think that the feeling of accomplishment after doing some of the tasks I set out to do would even be diminished. I say that because there would be no time to celebrate or enjoy what I'd accomplished. it would simply be time to move on to the next thing.I don't see many if any positive emotions coming to me in the face of this social expecattion to be busy.,0
102,3.333333333,2.333333333,1.5,0,29,1,1,3,"I would personally feel stressed and pressured with this expectation to remain busy. I would feel as though I have an expectation to meet and if I don't meet it, I will disappoint those who are observing. Under this pressure, I would feel as though I didn't have time to relax and be myself. I would be living up to other people's expectations.",0
103,1.5,1.666666667,3,1,26,1,3,4,"I would personally feel stressed and tired most of the time. Although, it would be nice to be needed and wanted, too much of this would just lead to me being miserable and feeling awful. I think it would be too much of a good thing and I wouldn't like it at all. It would become overwhelming and hurt my mental and even physical wellbeing. Over time, it would get even worse and hurt me even more.",1
104,2,1,1,1,30,0,1,1,I would personally feel very stressed if I was always expected to remain busy. It would honestly make me feel tired and drained to have to maintain the appearance of being busy constantly. This social expectation would be extremely unhealthy and not good for mental health. Overall I can say that my emotions during this expectation would be miserable.,0
105,2.833333333,1,3.5,1,24,1,4,7,"I would probably feel mostly stressed and upset. Being busy can and will take a toll on me as an individual as well as my family, community, or other relationships. I might feel uncomfortable going against the grain or taking more time off when needed. At the same time, being busy is unavoidable so I'd feel good about myself if I learned how to be productive and efficient.",1
106,4.333333333,4.333333333,3,1,27,1,3,5,"I Would probably feel really stressed. I need a lot of time to myself to relax in order to feel okay, so this would not be okay with me. Societal expectations in of themselves are extremely hard to deal with, and I'm not sure if I could handle being expected to be busy.",0
107,3,2.333333333,2,0,24,1,3,4,"I would probably first feel guilty if I felt I wasn't meeting the expectation to be busy. After some time, though, I would feel a little resentful of how that expectation was negatively impacting my emotional state. This might transition into a greater sense of frustration that society's expectations were influencing my life too much.",0
108,3.166666667,3,5,0,27,NA,1,1,"If I could stay busy consistently then I guess I'd be happy, but the more likely thing is that it'd stress me the fuck out and I would barely be able to get anything done.",1
109,2.5,3.5,6.5,1,23,1,3,3,"If I lived up to this expectation, I would be overwhelmed. I need calm and slow. I cannot always be busy. I will become easily burned out.",0
110,2.5,3.5,5,0,22,0,3,6,"In expectation of being busy, I would feel positive and negative feelings. First, positive I would feel motivated. Being that I'm will try hard to be busy and get work done. On the other hand, I will feel negative in stress and worry. Being that I fear that if I don't appear to busy, I might face consequences.",1
111,3.666666667,4,4,1,25,1,2,2,"In response to this societal expectation, I often feel bad about myself. I have a disability and can't work full time, so I physically cannot keep up with this societal expectation. It's taken quite a bit of work for me to realize that I'm still a valid person and contributor to my society even if I have to contribute in different ways than most people.",0
112,2.333333333,4.666666667,1,0,28,1,1,4,"In the face of social expectation to be busy I feel highly stressed. I feel better when I'm not busy but I want to be busy and I want to like to be busy, it's just hard. I've been busy all the time before in college and I was happy for a while but I ended up in the hospital.",1
113,1.333333333,1,2,1,27,0,4,5,In the face of social expectations to be busy I would feel stressed but motivated. I prefer to be busy rather than having nothing to do. I would be determined to do all the work I had to do and complete it so I can relax. I would also feel accomplished after the fact.,1
114,3.333333333,4,1.5,1,29,1,3,5,"In the face of social expectations to be busy, I would feel determined yet overwhelmed. I would want to be accomplished and would feel valued, but would also be thinking about if I was managing/balancing my time well. I would be in constant conflict over if I was keeping busy for myself or for the approval of others. However, I would also maximize my time to be busy with things that interest me, which would add to my overall well-being.",1
